Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks by Gas (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
International Bunker Fuelsb,7,7,6,5,5,5,5,5,6,5,4,4,4,4,5,5,5,5,6,5,6,5,4,3,3,4,4,4,4,4,3,3,3
N2Oc,"1,540","1,504","1,499","1,579","1,582","1,598","1,643","1,583","1,598","1,580","1,551","1,591","1,596","1,598","1,617","1,582","1,587","1,629","1,572","1,547","1,578","1,584","1,482","1,638","1,659","1,611","1,560","1,577","1,658","1,571","1,476","1,503","1,471"
Agricultural Soil Management,"1,090","1,048","1,038","1,102","1,089","1,085","1,120","1,075","1,098","1,087","1,051","1,114","1,114","1,118","1,147","1,110","1,107","1,145","1,133","1,129","1,142","1,137","1,067","1,225","1,246","1,214","1,160","1,185","1,258","1,191","1,102","1,124","1,097"
Stationary Combustion,84,84,85,88,89,90,92,94,95,95,100,99,103,107,111,115,114,115,114,106,115,110,102,110,111,102,101,95,95,84,78,83,93
Wastewater Treatment,56,57,58,59,61,61,62,62,64,66,67,66,67,68,68,68,70,70,69,69,70,71,73,74,74,75,76,78,80,81,84,83,83
Manure Management,50,51,51,50,53,54,54,54,55,57,58,58,59,59,57,57,60,60,59,58,58,58,59,58,58,59,61,62,63,63,64,65,64
Mobile Combustion,145,150,160,166,174,180,185,189,192,185,182,175,169,163,155,140,141,130,120,114,111,107,99,92,85,78,75,71,67,72,61,63,63
Nitric Acid Production,41,41,42,42,45,45,47,48,48,46,45,36,39,37,37,38,37,44,38,32,39,37,35,36,37,39,34,31,32,34,31,30,33
N2O from Product Uses,14,14,13,15,15,15,15,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Adipic Acid Production,51,50,44,47,45,57,56,32,17,16,18,15,17,18,12,24,29,34,8,9,14,34,18,13,18,14,24,25,35,18,28,25,8
Composting,1,1,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,5,6,6,6,6,6,7,7,7,7,7,7,7
"Caprolactam, Glyoxal, and Glyoxylic Acid Production",6,5,6,6,6,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,8,8,7,7,7,6,6,5,5,5,4,5,5
Incineration of Waste,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Electronics Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Field Burning of Agricultural Residues,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Natural Gas Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Petroleum Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International Bunker Fuelsb,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2,2,3
HFCs,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Substitution of Ozone Depleting Substances,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Fluorochemical Production,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Electronics Industry,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Magnesium Production and Processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PFCs,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Fluorochemical Production,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Electronics Industry,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Aluminum Production,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
SF6 and PFCs from Other Product Use,101,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,94,0,190,0,132,208,62,155,123,203,178,173,167,138,172
Substitution of Ozone Depleting Substances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electrical Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF?,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Electrical Equipment,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnesium Production and Processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electronics Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF6 and PFCs from Other Product Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluorochemical Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NF?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electronics Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluorochemical Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M (Mixture of multiple gases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Emissions from biomass and biofuel consumption are not included specifically in Energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Emissions from international bunker fuels are not included in totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c LULUCF emissions of LULUCF CH4 and N2O are reported separately from gross emissions totals. Refer to Table 2?8 for a breakout of emissions and removals for LULUCF by gas and source category.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Small amounts of PFC emissions from this source are included under HFCs due to confidential business information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals by gas may not sum due to independent rounding. Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
